"horse_no","horse_name","horse_gender","sire_name","dam_name","foal_year","race_year","age","gait","ytd_Starts","ytd_wins","ytd_places","ytd_shows","annual_earnings","rec_type","rec_time","rec_size","rec_track","ytd_htype"
"5P0531","WALKING TRAIL","G","WESTERN IDEAL","WALK SOFTLY",2016,2020,4,"P",8,0,0,1,1470,NA,0,NA,NA,"DOM"
"3P7747","BEAUTIFUL LIZ","M","DRAGON AGAIN","ENCHANTED BEAUTY",2016,2018,2,"P",7,2,0,1,13361,NA,1550,"F","Dtn","DOM"
"3P7747","BEAUTIFUL LIZ","M","DRAGON AGAIN","ENCHANTED BEAUTY",2016,2019,3,"P",21,1,5,4,12672,NA,1592,"H","Leb","DOM"
"3P7747","BEAUTIFUL LIZ","M","DRAGON AGAIN","ENCHANTED BEAUTY",2016,2020,4,"P",6,0,1,0,1598,"Q",1584,"H","FlmD","DOM"
"3P6533","BRIEF CALL","G","POLITICAL BRIEFING","CALL ME HAZEL",2016,2018,2,"T",0,0,0,0,0,NA,0,NA,NA,"DOM"
"6P2733","TYPHOON","M","A ROCKNROLL DANCE","HALLIE GALLIE",2016,2018,2,"P",10,1,3,2,22360,NA,1553,"F","PcD","DOM"
"5P2149","DANCE OBSESSION","M","A ROCKNROLL DANCE","WHERE THE HEART IS",2016,2019,3,"P",0,0,0,0,0,NA,0,NA,NA,"DOM"
"0PN408","ROWDY RONDA","M","SPORTSWRITER","RUFFLE'S KISS",2016,2018,2,"P",4,0,1,0,260,NA,0,NA,NA,"DOM"
"0PN408","ROWDY RONDA","M","SPORTSWRITER","RUFFLE'S KISS",2016,2019,3,"P",5,0,0,1,418,"Q",2023,"H","Truro","DOM"
"2PN776","VINTAGE VIXEN","M","VINTAGE MASTER","CLEARLY FOXY",2016,2018,2,"P",6,0,0,1,1400,"Q",2064,"H","TrRvs","DOM"
"6PN264","COME ON OVER","M","BADLANDS HANOVER","ODDS ON WHITEY",2016,2018,2,"P",9,2,1,0,8352,NA,2033,"H","Lon","DOM"
