"horse_no","horse_name","horse_gender","sire_name","dam_name","foal_year","race_year","age","gait","ytd_Starts","ytd_wins","ytd_places","ytd_shows","annual_earnings","rec_type","rec_time","rec_size","rec_track","ytd_htype"
"1PR382","BETTOR'S PARLAY","G","BETTOR'S DELIGHT","PARLAY HANOVER",2016,2018,2,"P",5,0,0,2,1000,NA,0,NA,NA,"DOM"
"1PR382","BETTOR'S PARLAY","G","BETTOR'S DELIGHT","PARLAY HANOVER",2016,2019,3,"P",23,3,1,5,15093,NA,1540,"S","Wbsb","DOM"
"1PR382","BETTOR'S PARLAY","G","BETTOR'S DELIGHT","PARLAY HANOVER",2016,2020,4,"P",12,3,2,2,15328,NA,1543,"S","Wbsb","DOM"
"1P3781","LINDEN ART","G","ART MAJOR","LINDEN BEAUTY",2016,2018,2,"P",9,0,3,2,11961,NA,0,NA,NA,"DOM"
"1P3781","LINDEN ART","G","ART MAJOR","LINDEN BEAUTY",2016,2019,3,"P",0,0,0,0,0,NA,0,NA,NA,"DOM"
"1P6339","LIGHTS COME ON","G","CHAPTER SEVEN","STARLIT EYES",2016,2018,2,"T",8,2,2,2,35467,NA,2000,"H","YR","DOM"
"1P6339","LIGHTS COME ON","G","CHAPTER SEVEN","STARLIT EYES",2016,2019,3,"T",20,5,7,3,102009,NA,1550,"F","MVR","DOM"
"1P6339","LIGHTS COME ON","G","CHAPTER SEVEN","STARLIT EYES",2016,2020,4,"T",3,0,0,0,1100,"Q",1591,"F","Phl","DOM"
"1P6339","LIGHTS COME ON","G","CHAPTER SEVEN","STARLIT EYES",2016,2021,5,"T",22,0,1,4,12232,NA,0,NA,NA,"DOM"
"4P8933","DANCE TRAVELER","G","UP FRONT BRAD","DANCES ON THE WIND",2016,2018,2,"P",10,1,1,5,13170,NA,2053,"H","What","DOM"
"4P8933","DANCE TRAVELER","G","UP FRONT BRAD","DANCES ON THE WIND",2016,2019,3,"P",24,2,2,3,18792,NA,1592,"F","Mea","DOM"
"4P8933","DANCE TRAVELER","G","UP FRONT BRAD","DANCES ON THE WIND",2016,2020,4,"P",28,3,3,4,16156,NA,1562,"M","CalX","DOM"
"4P8933","DANCE TRAVELER","G","UP FRONT BRAD","DANCES ON THE WIND",2016,2021,5,"P",44,5,10,5,21598,NA,1550,"M","CalX","DOM"
"4P8933","DANCE TRAVELER","G","UP FRONT BRAD","DANCES ON THE WIND",2016,2022,6,"P",40,8,6,5,22054,NA,1531,"M","CalX","DOM"
"4P8933","DANCE TRAVELER","G","UP FRONT BRAD","DANCES ON THE WIND",2016,2023,7,"P",30,5,4,4,30608,NA,1531,"F","Aces","DOM"
"1PR309","ODDS ON MARIA","M","BETTOR'S DELIGHT","ODDS ON JAN",2016,2018,2,"P",0,0,0,0,0,NA,0,NA,NA,"DOM"
"1PR309","ODDS ON MARIA","M","BETTOR'S DELIGHT","ODDS ON JAN",2016,2019,3,"P",18,5,1,1,30148,NA,1554,"H","Har","DOM"
"1PR309","ODDS ON MARIA","M","BETTOR'S DELIGHT","ODDS ON JAN",2016,2020,4,"P",13,0,0,1,1340,"Q",1590,"F","Aces","DOM"
"1PR309","ODDS ON MARIA","M","BETTOR'S DELIGHT","ODDS ON JAN",2016,2021,5,"P",18,1,1,1,4890,NA,1570,"M","CalX","DOM"
"1PR309","ODDS ON MARIA","M","BETTOR'S DELIGHT","ODDS ON JAN",2016,2022,6,"P",17,0,2,2,3458,NA,0,NA,NA,"DOM"
"2P7392","SUPER BETCHA","G","POWERFUL EMOTION","SUPER RENEE",2016,2018,2,"T",12,2,0,1,16207,NA,2024,"M","Haw","DOM"
"2P7392","SUPER BETCHA","G","POWERFUL EMOTION","SUPER RENEE",2016,2019,3,"T",25,4,2,2,19595,NA,1570,"S","VD","DOM"
"2P7392","SUPER BETCHA","G","POWERFUL EMOTION","SUPER RENEE",2016,2020,4,"T",13,3,1,2,5068,NA,1564,"S","VD","DOM"
"2P7392","SUPER BETCHA","G","POWERFUL EMOTION","SUPER RENEE",2016,2021,5,"T",23,4,4,3,15680,NA,1570,"S","VD","DOM"
"2P7392","SUPER BETCHA","G","POWERFUL EMOTION","SUPER RENEE",2016,2022,6,"T",21,5,3,1,22537,NA,1564,"S","VD","DOM"
"2P7392","SUPER BETCHA","G","POWERFUL EMOTION","SUPER RENEE",2016,2023,7,"T",10,2,1,1,6305,NA,1574,"S","VD","DOM"
"7P9892","MAJOR AL-MAR","G","MONEY TALKS","VESTAL HANOVER",2016,2019,3,"T",15,2,4,2,41840,NA,2001,"F","Aces","DOM"
"7P9892","MAJOR AL-MAR","G","MONEY TALKS","VESTAL HANOVER",2016,2020,4,"T",24,3,4,3,20152,NA,1562,"M","CalX","DOM"
"7P9892","MAJOR AL-MAR","G","MONEY TALKS","VESTAL HANOVER",2016,2021,5,"T",36,6,3,4,34094,NA,1551,"M","CalX","DOM"
"7P9892","MAJOR AL-MAR","G","MONEY TALKS","VESTAL HANOVER",2016,2022,6,"T",35,7,4,3,34090,NA,1564,"M","CalX","DOM"
"7P9892","MAJOR AL-MAR","G","MONEY TALKS","VESTAL HANOVER",2016,2023,7,"T",21,0,2,2,5420,"Q",1592,"F","Aces","DOM"
"8P0436","FIRST RESPONSE","G","CONWAY HALL","AMBER FIRE HANOVER",2016,2018,2,"T",8,1,1,1,6030,NA,1580,"S","VD","DOM"
"8P0436","FIRST RESPONSE","G","CONWAY HALL","AMBER FIRE HANOVER",2016,2019,3,"T",23,0,0,3,2812,NA,0,NA,NA,"DOM"
"8P0436","FIRST RESPONSE","G","CONWAY HALL","AMBER FIRE HANOVER",2016,2020,4,"T",10,0,0,0,1128,NA,0,NA,NA,"DOM"
"8P0436","FIRST RESPONSE","G","CONWAY HALL","AMBER FIRE HANOVER",2016,2021,5,"T",33,1,1,5,6927,NA,2004,"S","VD","DOM"
"8P0436","FIRST RESPONSE","G","CONWAY HALL","AMBER FIRE HANOVER",2016,2022,6,"T",11,0,0,0,870,NA,0,NA,NA,"DOM"
"5P6918","BLUEBIRD CAMMIE","M","ALWAYS A VIRGIN","CAM SUNDAY",2016,2018,2,"P",9,1,1,0,8350,NA,1553,"S","HoP","DOM"
"5P6918","BLUEBIRD CAMMIE","M","ALWAYS A VIRGIN","CAM SUNDAY",2016,2019,3,"P",23,0,1,7,10345,NA,0,NA,NA,"DOM"
"5P6918","BLUEBIRD CAMMIE","M","ALWAYS A VIRGIN","CAM SUNDAY",2016,2020,4,"P",35,5,3,3,30963,NA,1530,"S","HoP","DOM"
"5P6918","BLUEBIRD CAMMIE","M","ALWAYS A VIRGIN","CAM SUNDAY",2016,2021,5,"P",28,2,5,2,15338,NA,1540,"F","Dtn","DOM"
"5P6918","BLUEBIRD CAMMIE","M","ALWAYS A VIRGIN","CAM SUNDAY",2016,2022,6,"P",32,2,1,6,14317,NA,1584,"H","Nor","DOM"
"5P6918","BLUEBIRD CAMMIE","M","ALWAYS A VIRGIN","CAM SUNDAY",2016,2023,7,"P",29,4,2,2,17144,NA,1551,"H","Nfld","DOM"
